School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"Abraham Lincoln Elementary School","Very Strong","Very Strong","Strong","Strong","Weak","Strong"
"Adam Clayton Powell Paideia Community Academy Elementary School","Average","Strong","Strong","Very Strong","Weak","Strong"
"Adlai E Stevenson Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Agustin Lara Elementary Academy","Average","Average","Average","Weak","Weak","Average"
"Air Force Academy High School","Average","Strong","Strong","Average","Weak","Average"
"Albany Park Multicultural Academy","Strong","Weak","Strong","Strong","Weak","Average"
"Albert G Lane Technical High School","Very Strong","NDA","Strong","Average","Weak","NDA"
"Albert R Sabin Elementary Magnet School","Strong","NDA","Weak","Very Weak","Weak","NDA"
"Alcott High School for the Humanities","Strong","NDA","Strong","Average","Weak","NDA"
"Alessandro Volta Elementary School","Average","Strong","Weak","Weak","Weak","Average"
"Alexander Graham Bell Elementary School","Very Strong","Very Strong","Strong","Average","Weak","Average"
"Alexander Graham Elementary School","Average","Weak","Weak","Weak","Weak","Average"
"Alexander Hamilton Elementary School","Strong","Strong","Strong","Average","Weak","Average"
"Alexander von Humboldt Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Alex Haley Elementary Academy","Weak","NDA","Average","Strong","Weak","NDA"
"Alfred David Kohn Elementary School","Very Weak","Weak","Weak","Very Weak","Weak","Very Weak"
"Alfred Nobel Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Alice L Barnard Computer Math & Science Center Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"Al Raby High School","Average","NDA","Average","Average","Weak","NDA"
"Ambrose Plamondon Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Amelia Earhart Options for Knowledge Elementary School","Very Strong","Strong","Strong","Strong","Weak","Average"
"Ames Middle School","Weak","Very Weak","Weak","Weak","Weak","Weak"
"Amos Alonzo Stagg Elementary School","Weak","Weak","Weak","Average","Weak","Average"
"Ana Roque de Duprey Elementary School","Average","NDA","Very Weak","Very Weak","Weak","NDA"
"Andrew Carnegie Elementary School","Average","Average","Weak","Strong","Weak","Weak"
"Andrew Jackson Elementary Language Academy","Very Strong","NDA","Average","Average","Weak","NDA"
"Anna R. Langford Community Academy","Weak","Weak","Average","Weak","Weak","Average"
"Annie Keller Elementary Gifted Magnet School","Very Strong","Very Strong","Very Strong","Very Strong","Weak","Very Strong"
"A.N. Pritzker School","Average","NDA","Average","Strong","Weak","NDA"
"Anthony Overton Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Ariel Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Arna Wendell Bontemps Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Arnold Mireles Elementary Academy","Weak","NDA","Average","Average","Weak","NDA"
"Arthur A Libby Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Arthur Dixon Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Arthur E Canty Elementary School","Very Strong","Strong","Strong","Strong","Weak","Average"
"Arthur R Ashe Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Asa Philip Randolph Elementary School","Very Weak","NDA","Average","Average","Weak","NDA"
"Ashburn Community Elementary School","Average","Strong","Average","Average","Weak","Strong"
"Augustus H Burley Elementary School","Very Strong","NDA","Strong","Strong","Weak","NDA"
"Austin Business and Entrepreneurship Academy High School","Weak","NDA","Average","Weak","Weak","NDA"
"Austin O Sexton Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Austin Polytechnical Academy High School","Weak","NDA","Average","Average","Weak","NDA"
"Avalon Park Elementary School","Weak","Weak","Weak","Weak","Weak","Very Weak"
"Barbara Vick Early Childhood & Family Center","NDA","NDA","NDA","NDA","Weak","NDA"
"Belmont-Cragin Elementary School","Strong","Very Strong","Strong","Strong","Weak","Average"
"Benito Juarez Community Academy High School","Average","Average","Average","Average","Weak","Average"
"Benjamin Banneker Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Benjamin E Mays Elementary Academy","Weak","Weak","Average","Average","Weak","Weak"
"Bernhard Moos Elementary School","Average","Weak","Average","Weak","Weak","Weak"
"Betsy Ross Elementary School","Weak","NDA","Average","Average","Weak","NDA"
